id,last_name,money
861,Giovanna Jakovijevic,$9.95
862,Heath Halbord,$0.53
863,Nehemiah Mearing,$3.10
864,Dorris Crumbie,$9.76
865,Alyosha Drysdale,$1.56
866,Robbin Kunkel,$1.92
867,Carlee Lantuff,$0.35
868,Kenton Trevance,$7.38
869,Sal Kiln,$2.86
870,Levey Oppy,$5.44
871,Aubree McMichell,$7.66
872,Siward Rizzi,$3.70
873,Perle Scolts,$3.56
874,Sydelle Girton,$6.90
875,Merv Shaxby,$1.22
876,Glenda Brolechan,$1.47
877,Mathilda MacGillicuddy,$3.83
878,Wilek Lightning,$5.85
879,Rodina Hackworth,$8.72
880,Tabbi Deveraux,$5.13
881,Barris Barnewall,$5.23
882,Emelda Cluckie,$1.78
883,Alyson Illiston,$2.29
884,Claiborn Muslim,$5.02
885,Hewitt Damper,$9.08
886,Jemima Chasteney,$9.19
887,Aurea Farrance,$6.34
888,Zerk Croizier,$6.64
889,Linda Costelloe,$2.17
890,Doroteya L'Hommee,$0.53
891,Harriett Grigoryov,$5.37
892,Dennison Perulli,$6.97
893,Shurlocke Stickels,$4.77
894,Johnnie Walles,$3.61
895,Colleen Lindbergh,$5.30
896,Micheline Sharpless,$6.33
897,Alyssa Arend,$4.19
898,Rhodia Copyn,$3.22
899,Lincoln Lorenzin,$4.39
900,Kayle Lowbridge,$6.31
901,Gilemette Mattia,$8.01
902,Ashia Ithell,$9.22
903,Ulysses Hannabus,$0.47
904,Emmalynne Schafer,$8.01
905,Israel Ferraretto,$1.29
906,Gustavus Strathearn,$3.01
907,Harrison Cole,$2.01
908,Aharon Eby,$9.16
909,Anastassia Luckes,$7.36
910,Marci Dandie,$9.92
911,Emmi Ambrogetti,$5.30
912,Sephira Denver,$2.09
913,Consolata Bertwistle,$0.47
914,Rosana Vasyutochkin,$8.33
915,Bernarr Alldridge,$7.38
916,Kandace Riggott,$6.94
917,Moishe Sharpless,$1.32
918,Ralph Rawne,$7.43
919,Rafaelita Insall,$3.00
920,Cherry Caird,$5.77
921,Easter McSparran,$2.44
922,Renard Rosenfield,$9.21
923,Kellsie Mannock,$9.28
924,Rivkah Echlin,$3.50
925,Desdemona Dikels,$6.74
926,Garrek Langfitt,$8.39
927,Jerri Van der Kruis,$4.47
928,Fairlie Adamini,$0.87
929,Isabel Barrable,$0.80
930,Mic Mosey,$0.87
931,Care Blunt,$8.31
932,Shaylah Einchcombe,$9.69
933,Josi Overington,$3.28
934,Karel Lye,$6.11
935,Dix Roff,$1.62
936,Blanch Lamberts,$8.84
937,Tanny Kerfut,$8.38
938,Marion Bennett,$2.85
939,Kent Hark,$2.84
940,Winnie Eadington,$0.01
941,Kim Dowd,$9.70
942,Foss Bridgett,$1.63
943,Troy Maguire,$0.71
944,Garvin Phant,$7.11
945,Sloan Fury,$2.05
946,Lockwood MacDirmid,$0.83
947,Robbert Wither,$2.09
948,Giselle Pichmann,$6.50
949,Mycah Hamor,$7.84
950,Marshal Gresty,$7.76
951,Dulcine Iddons,$2.58
952,Reinald Ottosen,$3.17
953,Delphine Edwin,$0.91
954,Duffy Biles,$1.04
955,Adolpho Magner,$4.08
956,Frederick Ogers,$0.71
957,Pepe Warde,$1.02
958,Kingston Bruhn,$1.46
959,Genna Eefting,$1.82
960,Dannel Durnell,$1.88
961,Gaylord Ornils,$5.15
962,Mayne Dyte,$6.62
963,Law Allbones,$7.73
964,Hamilton Leidl,$7.68
965,Sandy Barley,$2.25
966,Ofilia Andrzejczak,$7.15
967,Kimberly Openshaw,$5.02
968,Morse Hulance,$9.88
969,Quinta Tidder,$9.02
970,Sarene Barnson,$3.60
971,Raven Brimelow,$6.23
972,Shannah Gregson,$4.02
973,Marin Fausch,$5.66
974,Alfonso Deares,$0.49
975,Darrick Arlett,$0.17
976,Sheela Seiter,$9.20
977,Selestina Buckwell,$6.31
978,Haze Esposito,$5.77
979,Sileas Riddles,$3.19
980,Granger Kolin,$6.74
981,Kristofer Sire,$8.87
982,Hermine Blood,$9.81
983,Whitaker Cuxson,$3.46
984,Catherin Diego,$1.91
985,Fonsie Sarton,$7.58
986,Shelli Hiscocks,$6.46
987,Gerardo Thirlwell,$4.41
988,Barron Langstrath,$9.01
989,Leonhard Sparrowhawk,$1.06
990,Josee Vivians,$9.93
991,Marcella Birchner,$0.21
992,Jen Braemer,$5.57
993,Gilly MacKettrick,$4.14
994,Blithe Scotchford,$8.00
995,Lenee Collaton,$7.92
996,Fara Ruusa,$6.89
997,Caresse Loalday,$8.31
998,Udell Dolligon,$0.74
999,Dody Pergens,$9.49
1000,Evaleen Ledingham,$6.51
